,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,Hakkâri Province,312888,0,TR,1659469837,32,37.5833,44.1667,66.11,2.24
280,Uusikaupunki,633221,76,FI,1659469838,65,60.8004,21.4084,57.15,9.31
281,Arrondissement d'Ajaccio,3038333,0,FR,1659469589,69,42.0,8.9167,77.05,2.3
282,General Nakar,1713024,100,PH,1659469838,84,14.7631,121.635,79.93,3.47
283,Ishigaki,1861416,75,JP,1659469839,89,24.3448,124.1572,82.53,6.91
284,Mīzan Teferī,330534,98,ET,1659469839,91,6.9833,35.5833,58.62,2.46
285,Mount Gambier,2156643,100,AU,1659469839,82,-37.8333,140.7667,53.51,17.27
286,Mwinilunga,902620,5,ZM,1659469839,42,-11.7358,24.4293,61.99,5.17
287,Abu Dhabi,292968,0,AE,1659469665,41,24.4667,54.3667,98.71,5.75
288,Dumas,5520552,0,US,1659469705,26,35.8656,-101.9732,95.54,24.16
289,Birjand,140463,0,IR,1659469840,25,32.8663,59.2211,75.67,6.91
290,Safranbolu,740430,0,TR,1659469840,94,41.2508,32.6942,63.07,3.04
291,Balkhash,1525798,87,KZ,1659469841,44,46.844,74.9804,76.39,14.54
292,Namatanai,2090021,35,PG,1659469841,79,-3.6667,152.4333,78.46,8.9
293,Phonhong,1655124,85,LA,1659469841,94,18.5007,102.4166,74.57,1.34
294,Kaeo,2189343,100,NZ,1659469842,96,-35.1,173.7833,53.33,3.24
295,Zavyalovo,1505506,17,RU,1659469842,76,54.5053,82.4484,55.54,7.05
296,Pravia,6359954,75,ES,1659469842,94,43.4906,-6.1508,70.68,3.44
297,High Level,5975004,75,CA,1659469803,63,58.5169,-117.136,66.31,3.44
298,Emerald,2167426,21,AU,1659469843,100,-23.5333,148.1667,55.54,0.0
299,Kawambwa,176555,5,ZM,1659469843,41,-9.7915,29.0791,61.38,4.92
300,Buta,217570,85,CD,1659469843,75,2.7858,24.73,71.1,0.31
301,Airai,1651810,23,TL,1659469843,65,-8.9266,125.4092,55.22,2.15
302,Talcahuano,3870282,0,CL,1659469844,58,-36.7167,-73.1167,53.28,11.5
303,Koumac,2140558,81,NC,1659469844,91,-20.5667,164.2833,73.02,6.78
304,Rocha,3440777,76,UY,1659469844,86,-34.4833,-54.3333,60.8,7.76
305,Paraná,3841956,100,AR,1659469565,62,-31.732,-60.5238,62.1,9.75
306,Cotonou,2394819,40,BJ,1659469845,83,6.3654,2.4183,75.18,8.05
307,Kysyl-Syr,2021017,26,RU,1659469845,74,63.8986,122.7617,51.57,5.64
308,Okato,2185763,100,NZ,1659469845,90,-39.2,173.8833,55.51,13.0
309,Luchegorsk,2020689,50,RU,1659469846,96,46.4764,134.2569,68.79,3.18
310,Broome,5110365,75,US,1659469846,51,42.2506,-75.833,88.63,12.66
311,Kulaman,1708485,86,PH,1659469627,81,6.4594,124.0892,77.99,2.84
312,Laas,3175096,31,IT,1659469846,81,46.6166,10.7002,72.48,1.19
313,Vestmanna,2610343,100,FO,1659469847,82,62.1564,-7.1664,50.92,12.66
314,Haradok,628155,100,BY,1659469847,89,55.4624,29.9816,64.51,5.57
315,Palmer,4946620,71,US,1659469847,64,42.1584,-72.3287,90.52,1.01
316,Nemours,2990793,18,FR,1659469848,44,48.2751,2.6908,80.56,4.61
317,Nabire,1634614,94,ID,1659469848,92,-3.3667,135.4833,74.5,3.53
318,Bubaque,2374583,29,GW,1659469848,80,11.2833,-15.8333,80.13,13.35
